,Class,Order,Family,Genus,Species,BodyShapeI,Fresh,Brack,Saltwater,DemersPelag,OperculumPresent,DorsalSpinesMax,DorsalSpinesMin,MaxLengthTL,Troph,DepthMin,DepthMax,TempPrefMin,TempPrefMax,FeedingPath,RepGuild1,RepGuild2,ParentalCare
Acanthurus_pyroferus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_pyroferus,short and / or deep,0,0,1,reef-associated,1,8,8,29,2,4,60,25,28.8,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_sp,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_sp,short and / or deep,0,0,1,reef-associated,1,8.861111111,8.777777778,37.70075016,2.275750005,2.666666667,51.35897436,24.725,28.80277778,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_bariene,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_bariene,short and / or deep,0,0,1,reef-associated,1,9,9,50,2,6,50,24.5,28.4,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_blochii,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_blochii,short and / or deep,0,0,1,reef-associated,1,9,9,54.90000153,2,2,15,24.9,28.8,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_dussumieri,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_dussumieri,short and / or deep,0,0,1,reef-associated,1,9,9,54,2,4,131,20.3,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_guttatus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_guttatus,short and / or deep,0,0,1,reef-associated,1,9,9,26,2,0,8,25,29.3,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_japonicus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_japonicus,short and / or deep,0,0,1,reef-associated,0,9,9,21,2.279999971,1,20,25.8,29.3,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_leucocheilus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_leucocheilus,short and / or deep,0,0,1,reef-associated,1,9,9,54.90000153,2,3,40,26.2,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_lineatus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_lineatus,short and / or deep,0,0,1,reef-associated,1,9,9,38,2,0,15,24.7,29.3,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_maculiceps,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_maculiceps,short and / or deep,0,0,1,reef-associated,1,9,9,48.79999924,2,1,15,25.4,29.2,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_mata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_mata,short and / or deep,0,0,1,reef-associated,1,9,9,50,2.529999971,5,100,24.7,29,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_nigricans,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_nigricans,short and / or deep,0,0,1,reef-associated,0,9,9,39.95999908,2,1,67,24.5,28.8,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_nigricauda,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_nigricauda,short and / or deep,0,1,1,reef-associated,1,9,9,50.27999878,2.99000001,1,30,25.3,29.3,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_nigrofuscus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_nigrofuscus,short and / or deep,0,0,1,reef-associated,1,9,9,21,2,0,25,24.6,29,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_nigroris,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_nigroris,short and / or deep,0,0,1,reef-associated,1,9,9,25,2,1,90,24.8,28.8,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_olivaceus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_olivaceus,short and / or deep,0,0,1,reef-associated,1,9,9,35,2.25999999,3,46,24.5,28.7,pelagic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_thompsoni,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_thompsoni,short and / or deep,0,1,1,reef-associated,1,9,9,27,3.640000105,4,119,24.6,28.8,pelagic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_triostegus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_triostegus,short and / or deep,0,0,1,reef-associated,1,9,9,27,2.779999971,0,90,23.4,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Acanthurus_xanthopterus,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus_xanthopterus,fusiform / normal,0,0,1,reef-associated,1,9,8,70,2.869999886,1,100,23.3,29,benthic,nonguarders,open water/substratum egg scatterers,none
Ctenochaetus_binotatus,Teleostei,Acanthuriformes,Acanthuridae,Ctenochaetus,Ctenochaetus_binotatus,short and / or deep,0,0,1,reef-associated,0,8,8,22,2,8,53,24.5,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Ctenochaetus_cyanocheilus,Teleostei,Acanthuriformes,Acanthuridae,Ctenochaetus,Ctenochaetus_cyanocheilus,short and / or deep,0,0,1,reef-associated,0,8,8,19.52000046,2.099999905,1,46,25.2,29.3,benthic,nonguarders,open water/substratum egg scatterers,none
Ctenochaetus_hawaiiensis,Teleostei,Acanthuriformes,Acanthuridae,Ctenochaetus,Ctenochaetus_hawaiiensis,short and / or deep,0,0,1,reef-associated,0,8,8,25,2,1,61,24.9,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Ctenochaetus_striatus,Teleostei,Acanthuriformes,Acanthuridae,Ctenochaetus,Ctenochaetus_striatus,short and / or deep,0,0,1,reef-associated,1,8,8,26,2,1,35,24.6,29,benthic,nonguarders,open water/substratum egg scatterers,none
Ctenochaetus_tominiensis,Teleostei,Acanthuriformes,Acanthuridae,Ctenochaetus,Ctenochaetus_tominiensis,short and / or deep,0,0,1,reef-associated,0,8,8,19.52000046,2.099999905,3,45,26.7,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Naso_thynnoides,Teleostei,Acanthuriformes,Acanthuridae,Naso,Naso_thynnoides,fusiform / normal,0,0,1,reef-associated,1,4,4,44.40000153,2.960000038,2,40,24.7,29,benthic,nonguarders,open water/substratum egg scatterers,none
Naso_annulatus,Teleostei,Acanthuriformes,Acanthuridae,Naso,Naso_annulatus,fusiform / normal,0,0,1,reef-associated,0,5,5,100,2.119999886,1,60,23.5,28.3,benthic,nonguarders,open water/substratum egg scatterers,none
Naso_brachycentron,Teleostei,Acanthuriformes,Acanthuridae,Naso,Naso_brachycentron,fusiform / normal,0,0,1,reef-associated,0,5,4,99.90000153,2.670000076,8,30,25.7,29,benthic,nonguarders,open water/substratum egg scatterers,none
Naso_lopezi,Teleostei,Acanthuriformes,Acanthuridae,Naso,Naso_lopezi,fusiform / normal,0,0,1,reef-associated,0,5,5,73.19999695,2.890000105,20,50,24.4,28.5,benthic,nonguarders,open water/substratum egg scatterers,none
Naso_tonganus,Teleostei,Acanthuriformes,Acanthuridae,Naso,Naso_tonganus,fusiform / normal,0,0,1,reef-associated,0,5,5,73.19999695,2,2,40,24.5,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Naso_brevirostris,Teleostei,Acanthuriformes,Acanthuridae,Naso,Naso_brevirostris,fusiform / normal,0,0,1,reef-associated,0,6,6,60,2.220000029,2,122,24.3,29,benthic,nonguarders,open water/substratum egg scatterers,none
Naso_hexacanthus,Teleostei,Acanthuriformes,Acanthuridae,Naso,Naso_hexacanthus,fusiform / normal,0,1,1,reef-associated,1,6,6,83.25,3.059999943,6,150,22.1,28.9,pelagic,nonguarders,open water/substratum egg scatterers,none
Naso_lituratus,Teleostei,Acanthuriformes,Acanthuridae,Naso,Naso_lituratus,short and / or deep,0,0,1,reef-associated,0,6,6,56.11999893,2.319999933,0,90,24.5,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Naso_unicornis,Teleostei,Acanthuriformes,Acanthuridae,Naso,Naso_unicornis,short and / or deep,0,0,1,reef-associated,1,6,6,77.69999695,2.170000076,1,180,23.4,28.8,benthic,nonguarders,open water/substratum egg scatterers,none
Naso_vlamingii,Teleostei,Acanthuriformes,Acanthuridae,Naso,Naso_vlamingii,fusiform / normal,0,0,1,reef-associated,0,6,6,60,2.160000086,1,50,25.5,29,benthic,nonguarders,open water/substratum egg scatterers,none
Naso_caesius,Teleostei,Acanthuriformes,Acanthuridae,Naso,Naso_caesius,fusiform / normal,0,0,1,reef-associated,0,7,6,55.63000107,2.289999962,15,50,24.7,28.8,benthic,nonguarders,open water/substratum egg scatterers,none
Paracanthurus_hepatus,Teleostei,Acanthuriformes,Acanthuridae,Paracanthurus,Paracanthurus_hepatus,short and / or deep,0,0,1,reef-associated,0,9,9,31,3.400000095,2,40,24.7,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Zebrasoma_flavescens,Teleostei,Acanthuriformes,Acanthuridae,Zebrasoma,Zebrasoma_flavescens,short and / or deep,0,0,1,reef-associated,0,5,5,20,2,2,46,24.9,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Zebrasoma_scopas,Teleostei,Acanthuriformes,Acanthuridae,Zebrasoma,Zebrasoma_scopas,short and / or deep,0,0,1,reef-associated,0,5,4,48.79999924,2,1,60,24.6,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Zebrasoma_velifer,Teleostei,Acanthuriformes,Acanthuridae,Zebrasoma,Zebrasoma_velifer,short and / or deep,0,0,1,reef-associated,1,5,4,48.79999924,2,1,45,24.8,28.9,benthic,nonguarders,open water/substratum egg scatterers,none
Aetobatus_ocellatus,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus,Aetobatus_ocellatus,other,0,1,1,benthopelagic,0,0,0,143.9100037,3.619999886,1,100,24.8,29,benthic,bearers,internal live bearers,NA
Albula_glossodonta,Teleostei,Albuliformes,Albulidae,Albula,Albula_glossodonta,fusiform / normal,0,1,0,reef-associated,0,0,0,109.8000031,3.339999914,0,10,24.6,29.3,benthic,nonguarders,open water/substratum egg scatterers,none
Ambassis_buruensis,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Ambassis_buruensis,fusiform / normal,1,1,0,demersal,1,8,7,8.199999809,3.400000095,0,2,24.97272727,28.43636364,benthic,nonguarders,open water/substratum egg scatterers,none
Ambassis_interrupta,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Ambassis_interrupta,fusiform / normal,1,1,1,demersal,1,8,8,12,2.74000001,0,50,26.7,29.1,benthic,nonguarders,open water/substratum egg scatterers,none
Ambassis_nalua,Teleostei,Ovalentaria/misc,Ambassidae,Ambassis,Ambassis_nalua,fusiform / normal,1,1,1,demersal,0,8,7.769230769,12.5,3.359999895,0,50,26.4,29,benthic,nonguarders,open water/substratum egg scatterers,none
Anguilla_bicolor,Teleostei,Anguilliformes,Anguillidae,Anguilla,Anguilla_bicolor,eel-like,1,1,1,demersal,1,0,0,123,3.549999952,0,50,26.5,29.1,benthic,nonguarders,open water/substratum egg scatterers,none
Anguilla_marmorata,Teleostei,Anguilliformes,Anguillidae,Anguilla,Anguilla_marmorata,eel-like,1,1,1,demersal,0,0,0,200,3.789999962,1,400,15.7,27.8,benthic,nonguarders,open water/substratum egg scatterers,none
Photoblepharon_palpebratum,Teleostei,Trachichthyiformes,Anomalopidae,Photoblepharon,Photoblepharon_palpebratum,fusiform / normal,0,0,1,reef-associated,0,3,2,12,3.460000038,0,50,26.2,29.3,pelagic,nonguarders,NA,none
Abantennarius_analis,Teleostei,Lophiiformes,Antennariidae,Abantennarius,Abantennarius_analis,short and / or deep,0,0,1,reef-associated,0,3,3,9.520000458,4,2,21,27,29.4,pelagic,nonguarders,open water/substratum egg scatterers,none
Abantennarius_coccineus,Teleostei,Lophiiformes,Antennariidae,Abantennarius,Abantennarius_coccineus,short and / or deep,0,0,1,reef-associated,1,3,3,13,4.199999809,10,75,24.2,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Abantennarius_dorehensis,Teleostei,Lophiiformes,Antennariidae,Abantennarius,Abantennarius_dorehensis,short and / or deep,0,0,1,reef-associated,0,3,3,14,4.25,0,10,26.3,29.3,pelagic,nonguarders,open water/substratum egg scatterers,none
Abantennarius_nummifer,Teleostei,Lophiiformes,Antennariidae,Abantennarius,Abantennarius_nummifer,short and / or deep,0,0,1,reef-associated,1,3,3,13,4.199999809,0,293,24.2,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Abantennarius_rosaceus,Teleostei,Lophiiformes,Antennariidae,Abantennarius,Abantennarius_rosaceus,short and / or deep,0,0,1,reef-associated,0,3,3,7.079999924,3.809999943,0,130,24.3,28.1,pelagic,nonguarders,open water/substratum egg scatterers,none
Antennarius_biocellatus,Teleostei,Lophiiformes,Antennariidae,Antennarius,Antennarius_biocellatus,short and / or deep,0,1,1,demersal,0,3,3,17.07999992,4.130000114,0,10,28,29.3,pelagic,nonguarders,open water/substratum egg scatterers,none
Antennarius_commerson,Teleostei,Lophiiformes,Antennariidae,Antennarius,Antennarius_commerson,short and / or deep,0,0,1,reef-associated,0,3,3,45,4.199999809,0,70,24.5,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Antennarius_pictus,Teleostei,Lophiiformes,Antennariidae,Antennarius,Antennarius_pictus,short and / or deep,0,0,1,reef-associated,1,3,3,30,4.429999828,0,75,25.1,29.3,pelagic,nonguarders,open water/substratum egg scatterers,none
Antennarius_striatus,Teleostei,Lophiiformes,Antennariidae,Antennarius,Antennarius_striatus,short and / or deep,0,1,1,reef-associated,1,3,3,25,4.199999809,10,219,18.2,28.6,pelagic,nonguarders,open water/substratum egg scatterers,none
Histrio_histrio,Teleostei,Lophiiformes,Antennariidae,Histrio,Histrio_histrio,short and / or deep,0,0,1,reef-associated,1,3,3,20,3.930000067,0,50,21.4,29.2,pelagic,nonguarders,open water/substratum egg scatterers,none
Luzonichthys_waitei,Teleostei,Perciformes/Serranoidei,Anthiadidae,Luzonichthys,Luzonichthys_waitei,elongated,0,0,1,reef-associated,0,10,10,7,3.400000095,1,55,25.9,28.9,pelagic,nonguarders,open water/substratum egg scatterers,none
Luzonichthys_whitleyi,Teleostei,Perciformes/Serranoidei,Anthiadidae,Luzonichthys,Luzonichthys_whitleyi,elongated,0,0,1,reef-associated,0,10,10,5.800000191,3.400000095,0,200,27.2,29.1,pelagic,nonguarders,open water/substratum egg scatterers,none
Mirolabrichthys_pascalus,Teleostei,Perciformes/Serranoidei,Anthiadidae,Mirolabrichthys,Mirolabrichthys_pascalus,fusiform / normal,0,0,1,reef-associated,0,10,10,20,3.599999905,5,60,25.4,28.8,pelagic,nonguarders,open water/substratum egg scatterers,none
Mirolabrichthys_tuka,Teleostei,Perciformes/Serranoidei,Anthiadidae,Mirolabrichthys,Mirolabrichthys_tuka,fusiform / normal,0,0,1,reef-associated,0,10,10,12,3.569999933,2,40,26.2,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Nemanthias_bartlettorum,Teleostei,Perciformes/Serranoidei,Anthiadidae,Nemanthias,Nemanthias_bartlettorum,fusiform / normal,0,0,1,reef-associated,0,10,10,9,3.400000095,4,30,28.3,29.2,pelagic,nonguarders,open water/substratum egg scatterers,none
Nemanthias_bicolor,Teleostei,Perciformes/Serranoidei,Anthiadidae,Nemanthias,Nemanthias_bicolor,fusiform / normal,0,0,1,reef-associated,0,10,10,13,3.400000095,5,68,25.2,28.9,pelagic,nonguarders,open water/substratum egg scatterers,none
Nemanthias_dispar,Teleostei,Perciformes/Serranoidei,Anthiadidae,Nemanthias,Nemanthias_dispar,fusiform / normal,0,0,1,reef-associated,0,10,10,9.5,3.329999924,1,18,24.7,28.5,pelagic,nonguarders,open water/substratum egg scatterers,none
Odontanthias_borbonius,Teleostei,Perciformes/Serranoidei,Anthiadidae,Odontanthias,Odontanthias_borbonius,short and / or deep,0,0,1,pelagic-oceanic,0,10,10,18.29999924,3.400000095,92,300,11.5,19.4,pelagic,nonguarders,open water/substratum egg scatterers,none
Plectranthias_fourmanoiri,Teleostei,Perciformes/Serranoidei,Anthiadidae,Plectranthias,Plectranthias_fourmanoiri,fusiform / normal,0,0,1,reef-associated,0,10,10,4.699999809,3.829999924,5,44,24.7,28.8,pelagic,nonguarders,open water/substratum egg scatterers,none
Plectranthias_kamii,Teleostei,Perciformes/Serranoidei,Anthiadidae,Plectranthias,Plectranthias_kamii,fusiform / normal,0,0,1,pelagic-oceanic,0,10,10,28.05999947,4.320000172,183,280,13,20.3,benthic,nonguarders,open water/substratum egg scatterers,none
Plectranthias_longimanus,Teleostei,Perciformes/Serranoidei,Anthiadidae,Plectranthias,Plectranthias_longimanus,fusiform / normal,0,0,1,reef-associated,0,10,10,4.269999981,3.5,6,75,24.7,28.8,benthic,nonguarders,open water/substratum egg scatterers,none
Plectranthias_nanus,Teleostei,Perciformes/Serranoidei,Anthiadidae,Plectranthias,Plectranthias_nanus,fusiform / normal,0,0,1,reef-associated,1,10,10,4.860000134,3.440000057,6,65,24.9,28.8,benthic,nonguarders,open water/substratum egg scatterers,none
Plectranthias_winniensis,Teleostei,Perciformes/Serranoidei,Anthiadidae,Plectranthias,Plectranthias_winniensis,fusiform / normal,0,0,1,reef-associated,0,10,10,4.880000114,3.450000048,23,116,23.7,28.2,benthic,nonguarders,open water/substratum egg scatterers,none
Plectranthias_sp,Teleostei,Perciformes/Serranoidei,Anthiadidae,Plectranthias,Plectranthias_sp,elongated,0,0,1,demersal,0,10.08,10.08,9.936785706,3.733571436,90.28571429,199.7636364,17.47096774,23.71612903,benthic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_calloura,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_calloura,fusiform / normal,0,0,1,demersal,0,10,10,10,3.400000095,53,56,22.82580645,27.56774194,pelagic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_cooperi,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_cooperi,fusiform / normal,0,0,1,reef-associated,1,10,10,14,3.400000095,10,91,24.8,28.8,pelagic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_engelhardi,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_engelhardi,fusiform / normal,0,0,1,reef-associated,0,10,10,10,3.319999933,37,70,24.3,28.8,pelagic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_fasciatus,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_fasciatus,fusiform / normal,0,0,1,reef-associated,0,10,10,21,3.400000095,20,150,21.9,28.1,pelagic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_huchtii,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_huchtii,fusiform / normal,0,0,1,reef-associated,0,10,10,12,3.400000095,3,30,26.6,28.9,pelagic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_hutomoi,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_hutomoi,fusiform / normal,0,0,1,reef-associated,0,10,10,12,3.359999895,30,70,26.2,28.3,pelagic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_hypselosoma,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_hypselosoma,fusiform / normal,0,0,1,reef-associated,0,10,10,19,3.450000048,6,50,24.6,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_luzonensis,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_luzonensis,fusiform / normal,0,0,1,reef-associated,0,10,10,14.5,3.400000095,10,60,24.3,28.5,pelagic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_pleurotaenia,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_pleurotaenia,fusiform / normal,0,0,1,reef-associated,0,10,10,20,3.400000095,0,180,25.3,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_randalli,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_randalli,fusiform / normal,0,0,1,reef-associated,0,10,10,9.5,3.309999943,15,120,25.8,29.1,pelagic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_rubrizonatus,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_rubrizonatus,fusiform / normal,0,0,1,reef-associated,0,10,10,12,3.400000095,10,133,24.2,28.9,pelagic,nonguarders,open water/substratum egg scatterers,none
Pseudanthias_squamipinnis,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pseudanthias,Pseudanthias_squamipinnis,fusiform / normal,0,0,1,reef-associated,0,10,10,15,3.400000095,0,55,24.3,28.9,pelagic,nonguarders,open water/substratum egg scatterers,none
Pyronotanthias_flavoguttatus,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pyronotanthias,Pyronotanthias_flavoguttatus,fusiform / normal,0,0,1,reef-associated,0,10,10,12.43999958,3.400000095,18,63,24.2,28.3,pelagic,nonguarders,open water/substratum egg scatterers,none
Pyronotanthias_lori,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pyronotanthias,Pyronotanthias_lori,fusiform / normal,0,0,1,reef-associated,0,10,10,12,3.400000095,7,70,25.3,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Pyronotanthias_parvirostris,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pyronotanthias,Pyronotanthias_parvirostris,fusiform / normal,0,0,1,reef-associated,0,10,10,9.149999619,3.339999914,35,65,19.7,28.5,pelagic,nonguarders,open water/substratum egg scatterers,none
Pyronotanthias_smithvanizi,Teleostei,Perciformes/Serranoidei,Anthiadidae,Pyronotanthias,Pyronotanthias_smithvanizi,fusiform / normal,0,0,1,reef-associated,0,10,10,9.5,3.400000095,6,70,26.2,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Serranocirrhitus_latus,Teleostei,Perciformes/Serranoidei,Anthiadidae,Serranocirrhitus,Serranocirrhitus_latus,short and / or deep,0,0,1,reef-associated,0,10,10,13,3.400000095,15,70,24.8,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Tosanoides_annepatrice,Teleostei,Perciformes/Serranoidei,Anthiadidae,Tosanoides,Tosanoides_annepatrice,short and / or deep,0,0,1,reef-associated,0,10,10,8.380000114,3.329999924,115,150,18.69562044,24.45109489,pelagic,nonguarders,open water/substratum egg scatterers,none
Tosanoides_flavofasciatus,Teleostei,Perciformes/Serranoidei,Anthiadidae,Tosanoides,Tosanoides_flavofasciatus,elongated,0,0,1,demersal,0,10,10,10.97999954,3.400000095,40,50,18.69562044,24.45109489,pelagic,nonguarders,open water/substratum egg scatterers,none
Tosanoides_sp,Teleostei,Perciformes/Serranoidei,Anthiadidae,Tosanoides,Tosanoides_sp,elongated,0,0,1,reef-associated,0,10,10,8.827999878,3.330000019,79,122.4,18.69562044,24.45109489,pelagic,nonguarders,open water/substratum egg scatterers,none
Cocotropus_larvatus,Teleostei,Perciformes/Scorpaenoidei,Aploactinidae,Cocotropus,Cocotropus_larvatus,short and / or deep,0,0,1,reef-associated,0,13,13,8.609999657,3.380000114,4,40,20.5,28.9,pelagic,nonguarders,open water/substratum egg scatterers,none
Paraploactis_obbesi,Teleostei,Perciformes/Scorpaenoidei,Aploactinidae,Paraploactis,Paraploactis_obbesi,short and / or deep,0,0,1,demersal,0,15,13,5,3.24000001,10,30,26.3,29,pelagic,nonguarders,open water/substratum egg scatterers,none
Amioides_polyacanthus,Teleostei,Kurtiformes,Apogonidae,Amioides,Amioides_polyacanthus,elongated,0,0,1,benthopelagic,1,8,8,22,3.5,70,276,16.9,25.9,benthic,bearers,external brooders,paternal
Apogon_crassiceps,Teleostei,Kurtiformes,Apogonidae,Apogon,Apogon_crassiceps,short and / or deep,0,0,1,reef-associated,1,7,7,5,3.5,18,55,23,28.5,benthic,bearers,external brooders,paternal
Apogon_dianthus,Teleostei,Kurtiformes,Apogonidae,Apogon,Apogon_dianthus,elongated,0,0,1,reef-associated,0,7,7,5.860000134,3.339999914,0,18,26.1,29.4,benthic,bearers,external brooders,paternal
Apogon_doryssa,Teleostei,Kurtiformes,Apogonidae,Apogon,Apogon_doryssa,short and / or deep,0,0,1,reef-associated,0,7,7,8,3.5,4,21,25.4,29.3,benthic,bearers,external brooders,paternal
Apogon_indicus,Teleostei,Kurtiformes,Apogonidae,Apogon,Apogon_indicus,short and / or deep,0,0,1,demersal,0,7,7,4.619999886,3.25999999,6,8,25.4,29.3,benthic,bearers,external brooders,paternal
Apogon_susanae,Teleostei,Kurtiformes,Apogonidae,Apogon,Apogon_susanae,elongated,0,0,1,demersal,0,7,7,4.820000172,3.279999971,3,6,24.6,29.4,benthic,bearers,external brooders,paternal
Apogon_talboti,Teleostei,Kurtiformes,Apogonidae,Apogon,Apogon_talboti,short and / or deep,0,0,1,reef-associated,0,7,7,14,3.609999895,0,37,25.4,29.3,benthic,bearers,external brooders,paternal
Apogon_sp,Teleostei,Kurtiformes,Apogonidae,Apogon,Apogon_sp,fusiform / normal,0,0,1,reef-associated,0,7.083333333,7.083333333,8.600000017,3.445490201,5.86,46.48,23.98409091,28.33636364,benthic,bearers,external brooders,paternal
Apogonichthyoides_atripes,Teleostei,Kurtiformes,Apogonidae,Apogonichthyoides,Apogonichthyoides_atripes,short and / or deep,0,0,1,demersal,0,8,8,9,3.410000086,6,30,23.3,28,benthic,bearers,external brooders,paternal
Apogonichthyoides_melas,Teleostei,Kurtiformes,Apogonidae,Apogonichthyoides,Apogonichthyoides_melas,short and / or deep,0,0,1,reef-associated,0,8,8,12.19999981,3.5,1,15,27.1,29.3,benthic,bearers,external brooders,paternal
Apogonichthyoides_nigripinnis,Teleostei,Kurtiformes,Apogonidae,Apogonichthyoides,Apogonichthyoides_nigripinnis,short and / or deep,0,0,1,reef-associated,0,8,8,10,3.440000057,1,50,24,29.1,benthic,bearers,external brooders,paternal
Apogonichthyoides_timorensis,Teleostei,Kurtiformes,Apogonidae,Apogonichthyoides,Apogonichthyoides_timorensis,short and / or deep,0,0,1,reef-associated,0,8,8,9,3.410000086,1,15,24.6,29.3,benthic,bearers,external brooders,paternal
Apogonichthyoides_umbratilis,Teleostei,Kurtiformes,Apogonidae,Apogonichthyoides,Apogonichthyoides_umbratilis,short and / or deep,0,0,1,pelagic-neritic,0,8,8,5,3.25,20,60,24.3,28.5,benthic,bearers,external brooders,paternal
Apogonichthys_ocellatus,Teleostei,Kurtiformes,Apogonidae,Apogonichthys,Apogonichthys_ocellatus,short and / or deep,0,0,1,reef-associated,1,8,8,6,3.339999914,1,5,25.2,29.3,benthic,bearers,external brooders,paternal
Apogonichthys_perdix,Teleostei,Kurtiformes,Apogonidae,Apogonichthys,Apogonichthys_perdix,short and / or deep,0,0,1,reef-associated,0,8,8,6,3.339999914,1,65,25.2,29.3,benthic,bearers,external brooders,paternal
Archamia_bleekeri,Teleostei,Kurtiformes,Apogonidae,Archamia,Archamia_bleekeri,short and / or deep,0,0,1,reef-associated,0,8,8,12.60000038,3.730000019,10,30,25.1,29.1,pelagic,bearers,external brooders,paternal
Cercamia_eremia,Teleostei,Kurtiformes,Apogonidae,Cercamia,Cercamia_eremia,short and / or deep,0,0,1,reef-associated,0,7,6,5,3.279999971,2,40,24.1,28.8,benthic,bearers,external brooders,paternal
