"","X5","X6","X8","X24","X29"
"2185","Samariscus","cf triocellatus","Samariscus cf triocellatus","309m",NA
"2186","Samariscus","triocellatus","Samariscus triocellatus","3-30m","1"
"2187","Aseraggodes","firmisquamis","Aseraggodes firmisquamis","6m","1"
"2188","Aseraggodes","heraldi","Aseraggodes heraldi","1m",NA
"2189","Aseraggodes","sp. Cf heraldi (melanostictus MRF)",NA,"4m",NA
"2190","Aseraggodes","unid spp",NA,NA,NA
"2191","Aseraggodes","unid. sp. (45 I-P, 1 E-Pac spp; Randall and Senou 2007)",NA,NA,NA
"2192","Aseraggodes","whitakeri","Aseraggodes whitakeri","tidepool-37m",NA
"2193","Aseraggodes","xenicus","Aseraggodes xenicus","tidepool-23m","1"
"2194","Pardachirus","pavoninus","Pardachirus pavoninus","0.5-52m","1"
"2195","Soleichthys","sp","Soleichthys sp","1-4m","1"
"2196","Soleichthys","unid juv MRF pl180F",NA,NA,NA
"2197","Symphurus","thermophilus","Symphurus thermophilus","239–733",NA
"2198","Symphurus","unid spp",NA,NA,NA
"2199","Atrophacanthus","japonicus","Atrophacanthus japonicus","180-1300m",NA
"2200","Hollardia","goslinei","Hollardia goslinei","275-650m w/soft corals",NA
"2201","Abalistes","filamentosus","Abalistes filamentosus","20mNCal;61-180m",NA
"2202","Abalistes","stellatus","Abalistes stellatus","4-120m","1"
"2203","Balistapus","undulatus","Balistapus undulatus","1-75m(1-100m)","1"
"2204","Pseudobalistes","fuscus","Balistes fuscus","1-80m","1"
"2205","Balistoides","conspicillum","Balistoides conspicillum","1-75m","1"
"2206","Canthidermis","maculata","Canthidermis maculatus","1-110m","1"
"2207","Melichthys","niger","Melichthys niger","1-75m","1"
"2208","Melichthys","vidua","Melichthys vidua","1-145m","1"
"2209","Odonus","niger","Odonus niger","2-105m","1"
"2210","Pseudobalistes","flavimarginatus","Pseudobalistes flavimarginatus","2-≥71m","1"
"2211","Balistoides","viridescens","Pseudobalistes viridescens","2-69m","1"
"2212","Rhinecanthus","abyssus","Rhinecanthus abyssus","120-150m","1"
"2213","Rhinecanthus","aculeatus","Rhinecanthus aculeatus","1-50m","1"
"2214","Rhinecanthus","lunula","Rhinecanthus lunula","2-40+m","1"
"2215","Rhinecanthus","rectangulus","Rhinecanthus rectangulus","1-20m","1"
"2216","Rhinecanthus","verrucosus","Rhinecanthus verrucosa","0-20m","1"
"2217","Sufflamen","bursa","Sufflamen bursa","3-118m","1"
"2218","Sufflamen","chrysopterum","Sufflamen chrysopterum","1-35m","1"
"2219","Sufflamen","fraenatum","Sufflamen fraenatum","8-186m","1"
"2220","Xanthichthys","auromarginatus","Xanthichthys auromarginatus","8-161m","1"
"2221","Xanthichthys","caeruleolineatus","Xanthichthys careuleolineatus","13-250m","1"
"2222","Xanthichthys","mento","Xanthichthys mento","6-131m;us>25m",NA
"2223","Acreichthys","tomentosus","Acreichthys tomentosus","1-15m","1"
"2224","Aluterus","monoceros","Aluterus monoceros","1-80m(15-90m)","1"
"2225","Aluterus","scriptus","Aluterus scriptus","1-120m","1"
"2226","Amanses","scopas","Amanses scopas","1-20m(5-60m)","1"
"2227","Brachaluteres","taylori","Brachaluteres taylori","8-35m",NA
"2228","Cantherhines","dumerilii","Cantherhines dumerilii","1-69m","1"
"2229","Cantherhines","fronticinctus","Cantherhines fronticinctus","1-42m; 150m PI",NA
"2230","Cantherhines","pardalis","Cantherhines pardalis","1-25m(5-60m)","1"
"2231","Enigmacanthus","filamentosus","Enigmacanthus filamentosus","36-67m","1"
"2232","Oxymonacanthus","longirostris","Oxymonacanthus longirostris","1-30m","1"
"2233","Paraluteres","prionurus","Paraluteres prionurus","1-25m(5-57m)","1"
"2234","Paramonacanthus","curtorhynchos","Paramonacanthus curtorhynchus","to≥132m","1"
"2235","Pervagor","alternans","Pervagor alternans","8-20m",NA
"2236","Pervagor","aspricaudus","Pervagor aspricaudus","1-33m",NA
"2237","Pervagor","janthinosoma","Pervagor janthinosoma","1-20m","1"
"2238","Pervagor","melanocephalus","Pervagor melanocephalus","1-61m","1"
"2239","Pervagor","nigrolineatus","Pervagor nigrolineatus","2-25m","1"
"2240","Pseudalutarius","nasicornis","Pseudalutarius nasicornis","2-55m",NA
"2241","Rudarius","minutus","Rudarius minutus","2-15m","1"
"2242","Lactoria","cornuta","Lactoria cornuta","1-100m","1"
"2243","Lactoria","diaphana","Lactoria diaphana","1-135m","1"
"2244","Lactoria","fornasini","Lactoria fornasini","1-132m",NA
"2245","Ostracion","cubicum","Ostracion cubicus","1-75m(280)","1"
"2246","Ostracion","meleagris","Ostracion meleagris","1-71m","1"
"2247","Rhynchostracion","nasus","Ostracion nasus","3-50m","1"
"2248","Ostracion","rhinorhynchos","Ostracion rhinorhynchos","2-50m","1"
"2249","Ostracion","solorense","Ostracion solorensis","1-20m","1"
"2250","Triodon","macropterus","Triodon macropterus","55-330m",NA
"2251","Arothron","caeruleopunctatus","Arothron caeruleopunctatus","2-50mm","1"
"2252","Arothron","hispidus","Arothron hispidus","1-121m","1"
"2253","Arothron","manilensis","Arothron manilensis","1-22m","1"
"2254","Arothron","mappa","Arothron mappa","1-45m","1"
"2255","Arothron","meleagris","Arothron meleagris","1-73m","1"
"2256","Arothron","nigropunctatus","Arothron nigropunctatus","1-75m(100m)","1"
"2257","Arothron","reticularis","Arothron reticularis","1-25m","1"
"2258","Arothron","stellatus","Arothron stellatus","1-58m(10-75m)","1"
"2259","Chelonodontops","patoca","Chelonodontops patoca","1-22m5-50m)","1"
"2260","Geneion ","honckenii","Geneion honckenii","1-400m",NA
"2261","Lagocephalus","lagocephalus","Lagocephalus lagocephalus","1-165m","1"
"2262","Lagocephalus","sceleratus","Lagocephalus sceleratus","7-100(250m)","1"
"2263","Sphoeroides","pachygaster","Sphaeroides pachygaster","10-480m; us.>115m HI","1"
"2264","Canthigaster","amboinensis","Canthigaster amboinensis","1-165m","1"
"2265","Canthigaster","axiologus","Canthigaster axilogus","10-80m(165m)","1"
"2266","Canthigaster","bennetti","Canthigaster bennetti","1-15m","1"
"2267","Canthigaster","compressa","Canthigaster compressa","1-25m","1"
"2268","Canthigaster","epilampra","Canthigaster epilampra","6-125mm","1"
"2269","Canthigaster","janthinoptera","Canthigaster janthinoptera","1-30m","1"
"2270","Canthigaster","leoparda","Canthigaster leoparda","30-≥91m","1"
"2271","Canthigaster","ocellicincta","Canthigaster ocellicincta","10-53m","1"
"2272","Canthigaster","papua","Canthigaster papua","1-36m","1"
"2273","Canthigaster","solandri","Canthigaster solandri","1-36m","1"
"2274","Canthigaster","valentini","Canthigaster valentini","1-91m","1"
"2275","Chilomycterus","reticulatus","Chilomycterus reticulatus","1-141m; ≥61m HI","1"
"2276","Diodon","holocanthus","Diodon holocanthus","2-104(200)m",NA
"2277","Diodon","hystrix","Diodon hystrix","1-137m","1"
"2278","Diodon","liturosus","Diodon liturosus","1-90m","1"
"2279","Masturus","lanceolatus","Masturus lanceolatus",NA,NA
"2280","Mola","alexandrini","Mola alexandrini","483m",NA
"2281","Mola","mola","Mola mola","1-600m",NA
"2282","Ranzania","laevis","Ranzania laevis","1-348m",NA
