"","genus","species","NLU","MLN","SLN","FLK","HLO","OTM","OOM","LCN","LLN","ULN","TLN","NLN","OLO","OOO","BCM","NCN","RCA","IBK","HLM","NLK","CLM","GLK","Species"
"204","Salarias","segmentatus",0,"1",0,"0",1,"0",1,0,0,1,0,"1","0",0,"0",0,1,1,"0","0","0",0,"Salarias segmentatus"
"205","Sargocentron","diadema",0,"0",0,"0",1,"0",1,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Sargocentron diadema"
"206","Sargocentron","spiniferum",0,"0",0,"0",0,"0",0,0,0,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Sargocentron spiniferum"
"207","Saurida","gracilis",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Saurida gracilis"
"208","Scarus","dimidiatus",0,"0",0,"0",0,"0",1,0,1,0,0,"0","0",0,"0",0,1,1,"0","0","0",0,"Scarus dimidiatus"
"209","Scarus","rivulatus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",1,0,1,"0","0","0",0,"Scarus rivulatus"
"210","Scarus","flavipectoralis",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Scarus flavipectoralis"
"211","Scarus","ghobban",0,"0",0,"0",0,"0",0,0,0,1,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Scarus ghobban"
"212","Scarus","hypselopterus",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Scarus hypselopterus"
"213","Scarus","oviceps",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,1,0,"0","0","0",0,"Scarus oviceps"
"214","Scarus","psittacus",0,"0",0,"0",1,"0",0,0,1,1,0,"0","0",0,"0",0,1,1,"0","0","0",0,"Scarus psittacus"
"215","Scarus","quoyi",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Scarus quoyi"
"216","Scatophagus","argus",0,"0",0,"0",0,"0",0,0,0,0,1,"0","0",0,"0",0,0,0,"0","0","0",0,"Scatophagus argus"
"217","Scolopsis","ciliata",0,"1",0,"0",0,"0",0,0,1,1,0,"1","0",0,"0",1,1,1,"0","0","0",0,"Scolopsis ciliata"
"218","Scolopsis","margaritifera",0,"1",0,"0",1,"0",1,0,1,1,0,"0","0",1,"0",1,0,1,"0","0","0",0,"Scolopsis margaritifera"
"219","Scolopsis","lineata",0,"0",0,"0",0,"0",0,0,1,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Scolopsis lineata"
"220","Scolopsis","trilineata",0,"0",0,"0",1,"0",0,0,0,1,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Scolopsis trilineata"
"221","Siganus","doliatus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",1,0,1,"0","0","0",0,"Siganus doliatus"
"222","Siganus","fuscescens",0,"0",0,"0",0,"0",1,0,1,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Siganus fuscescens"
"223","Siganus","lineatus",1,"1",0,"1",0,"0",0,1,1,1,1,"0","1",0,"0",0,0,1,"1","1","0",0,"Siganus lineatus"
"224","Siganus","puellus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",1,1,1,"0","0","0",0,"Siganus puellus"
"225","Siganus","punctatissimus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Siganus punctatissimus"
"226","Siganus","punctatus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Siganus punctatus"
"227","Signigobius","biocellatus",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Signigobius biocellatus"
"228","Silhouettea","sp",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"1","0","0",0,"Silhouettea sp"
"229","Sphaeramia","nematoptera",1,"1",0,"0",0,"0",1,0,1,0,0,"0","0",0,"0",1,1,0,"0","0","0",0,"Sphaeramia nematoptera"
"230","Sphaeramia","orbicularis",1,"1",0,"1",1,"1",1,0,1,1,1,"1","0",0,"0",0,0,0,"0","1","1",0,"Sphaeramia orbicularis"
"231","Sphyraena","barracuda",0,"0",0,"1",0,"0",0,1,1,0,0,"1","1",0,"0",0,0,0,"0","0","0",0,"Sphyraena barracuda"
"232","Sphyraena","obtusata",1,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Sphyraena obtusata"
"233","Sphyraena","qenie",0,"0",0,"0",0,"0",0,0,0,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Sphyraena qenie"
"234","Stegastes","nigricans",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Stegastes nigricans"
"235","Stegastes","punctatus",0,"0",0,"0",0,"0",1,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Stegastes punctatus"
"236","Stethojulis","strigiventer",0,"0",0,"0",0,"0",0,1,1,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Stethojulis strigiventer"
"237","Strongylura","incisa",0,"0",0,"0",0,"0",1,0,0,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Strongylura incisa"
"238","Synodus","variegatus",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",1,0,0,"0","0","0",0,"Synodus variegatus"
"239","Taeniurops","meyeni",0,"0",0,"0",0,"0",0,0,0,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Taeniurops meyeni"
"240","Toxotes","jaculatrix",1,"1",0,"1",0,"0",0,1,1,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Toxotes jaculatrix"
"241","Tylosurus","punctulatus",1,"1",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Tylosurus punctulatus"
"242","Upeneus","taeniopterus",0,"0",0,"0",0,"0",0,0,0,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Upeneus taeniopterus"
"243","Valenciennea","muralis",0,"1",0,"0",0,"0",0,0,0,1,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Valenciennea muralis"
"244","Valenciennea","parva",0,"1",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Valenciennea parva"
"245","Valenciennea","randalli",0,"1",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Valenciennea randalli"
"246","Zanclus","cornutus",0,"1",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Zanclus cornutus"
"247","Zebrasoma","scopas",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Zebrasoma scopas"
"248","Zebrasoma","velifer",0,"1",0,"0",1,"0",1,0,1,0,0,"0","0",0,"0",1,1,1,"0","0","0",0,"Zebrasoma velifer"
"249","Zenarchopterus","dispar",1,"1",0,"0",1,"0",1,1,1,1,0,"1","1",0,"0",1,0,0,"0","0","0",0,"Zenarchopterus dispar"
"250","Zenarchopterus","gilli",1,"1",0,"0",1,"0",1,1,1,1,0,"1","1",1,"0",0,0,0,"0","0","0",0,"Zenarchopterus gilli"
"251","Zoramia","leptacanthus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Zoramia leptacanthus"
"252","Zoramia","viridiventer",0,"0",0,"0",0,"0",0,0,0,1,0,"1","0",0,"0",1,1,0,"0","0","0",0,"Zoramia viridiventer"
"253","Taeniamia","zosterophora",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",1,1,0,"0","0","0",0,"Taeniamia zosterophora"
