"","genus","species","NLU","MLN","SLN","FLK","HLO","OTM","OOM","LCN","LLN","ULN","TLN","NLN","OLO","OOO","BCM","NCN","RCA","IBK","HLM","NLK","CLM","GLK","Species"
"84","Dascyllus","trimaculatus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Dascyllus trimaculatus"
"85","Diproctacanthus","xanthurus",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Diproctacanthus xanthurus"
"86","Dischistodus","chrysopoecilus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","1",0,"0",0,0,0,"0","0","0",0,"Dischistodus chrysopoecilus"
"87","Dischistodus","perspicillatus",0,"1",0,"0",0,"0",1,0,1,1,0,"1","0",0,"0",1,0,0,"0","0","0",0,"Dischistodus perspicillatus"
"88","Eleotris","fusca",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"1",0,0,0,"1","0","0",1,"Eleotris fusca"
"89","Epibulus","brevis",0,"1",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",1,1,1,"0","0","0",0,"Epibulus brevis"
"90","Epinephelus","coeruleopunctatus",0,"0",0,"1",0,"0",0,0,0,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Epinephelus coeruleopunctatus"
"91","Epinephelus","merra",0,"1",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",1,1,0,"0","0","0",0,"Epinephelus merra"
"92","Epinephelus","sp",0,"0",0,"0",0,"0",0,0,0,0,0,"0","1",0,"0",0,0,0,"0","0","0",0,"Epinephelus sp"
"93","Eviota","atriventris",0,"1",0,"0",0,"0",0,0,0,0,0,"1","0",0,"0",0,0,1,"0","0","0",0,"Eviota atriventris"
"94","Eviota","bifasciata",0,"1",0,"0",1,"0",1,0,0,0,0,"1","0",0,"0",1,1,1,"0","0","0",0,"Eviota bifasciata"
"95","Eviota","fallax",0,"1",0,"0",1,"0",1,0,0,0,0,"0","0",0,"0",1,1,1,"0","0","0",0,"Eviota fallax"
"96","Eviota","lachdeberei",0,"1",0,"0",1,"0",0,0,1,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Eviota lachdeberei"
"97","Eviota","maculosa",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",1,0,0,"0","0","0",0,"Eviota maculosa"
"98","Eviota","sigillata",0,"1",0,"0",1,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Eviota sigillata"
"99","Eviota","storthynx",0,"0",0,"0",1,"0",0,0,1,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Eviota storthynx"
"100","Eviota","sp",0,"0",0,"1",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Eviota sp"
"101","Exyrias","belissimus",1,"0",0,"0",1,"0",1,0,1,1,0,"1","0",0,"0",1,0,0,"0","0","0",0,"Exyrias belissimus"
"102","Exyrias","puntang",0,"0",1,"1",0,"0",0,1,0,0,1,"0","1",0,"0",0,0,0,"1","1","0",1,"Exyrias puntang"
"103","Favonigobius","reichei",0,"0",0,"0",0,"0",0,0,1,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Favonigobius reichei"
"104","Fibramia","lateralis",1,"0",0,"1",0,"0",0,1,1,1,1,"0","1",0,"1",0,0,0,"1","0","1",0,"Fibramia lateralis"
"105","Fibramia","thermalis",0,"0",0,"0",0,"0",0,0,1,1,1,"1","0",0,"0",1,0,0,"0","0","0",0,"Fibramia thermalis"
"106","Gerres","erythrourus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Gerres erythrourus"
"107","Gerres","oyena",0,"0",0,"0",0,"0",0,1,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Gerres oyena"
"108","Gladiogobius","ensifer",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",1,0,0,"0","0","0",0,"Gladiogobius ensifer"
"109","Gnathanodon","speciosus",0,"0",0,"0",0,"0",0,0,0,0,0,"1","0",0,"0",0,0,0,"1","0","0",0,"Gnathanodon speciosus"
"110","Gobiodon","okinawae",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Gobiodon okinawae"
"111","Gymnothorax","pictus",0,"0",0,"0",0,"0",0,1,0,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Gymnothorax pictus"
"112","Halichoeres","chloropterus",0,"1",0,"0",1,"0",1,0,1,0,0,"1","0",1,"0",0,1,1,"0","0","0",0,"Halichoeres chloropterus"
"113","Halichoeres","leucurus",0,"1",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,1,1,"0","0","0",0,"Halichoeres leucurus"
"114","Halichoeres","margaritaceus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Halichoeres margaritaceus"
"115","Halichoeres","marginatus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Halichoeres marginatus"
"116","Halichoeres","melanurus",0,"0",0,"0",1,"0",1,0,1,1,0,"0","0",1,"0",1,0,0,"0","0","0",0,"Halichoeres melanurus"
"117","Halichoeres","papilionaceus",0,"0",0,"0",0,"0",1,0,1,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Halichoeres papilionaceus"
"118","Halichoeres","trimaculatus",0,"0",0,"0",0,"0",0,1,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Halichoeres trimaculatus"
"119","Hemiglyphidodon","plagiometopon",0,"0",0,"1",1,"0",1,0,1,1,0,"0","0",1,"0",1,1,1,"0","0","0",0,"Hemiglyphidodon plagiometopon"
"120","Hemigymnus","melapterus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Hemigymnus melapterus"
"121","Heniochus","chrysostomus",0,"0",0,"0",0,"0",1,0,1,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Heniochus chrysostomus"
"122","Heniochus","monoceros",0,"0",0,"0",1,"0",0,0,1,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Heniochus monoceros"
"123","Herklotsichthys","quadrimaculatus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Herklotsichthys quadrimaculatus"
"124","Pateobatis","fai",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Pateobatis fai"
"125","Hipposcarus","longiceps",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",1,1,1,"0","0","0",0,"Hipposcarus longiceps"
"126","Istigobius","decoratus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Istigobius decoratus"
"127","Kyphosus","cinerascens",0,"0",0,"0",0,"0",1,0,1,0,0,"0","0",1,"0",0,0,0,"0","0","0",0,"Kyphosus cinerascens"
"128","Lethrinus","erythropterus",0,"1",0,"0",0,"0",0,0,1,1,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Lethrinus erythropterus"
"129","Lethrinus","harak",0,"0",0,"1",0,"0",0,1,1,1,0,"1","1",0,"0",0,0,0,"0","0","0",0,"Lethrinus harak"
"130","Lethrinus","obsoletus",0,"0",0,"0",0,"0",0,0,0,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Lethrinus obsoletus"
"131","Lethrinus","olivaceus",0,"0",0,"0",0,"0",0,0,0,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Lethrinus olivaceus"
"132","Lutjanus","argentimaculatus",1,"0",0,"0",0,"0",0,0,1,1,1,"1","0",0,"0",0,0,0,"0","1","0",0,"Lutjanus argentimaculatus"
"133","Lutjanus","biguttatus",0,"0",0,"0",1,"0",0,0,0,0,0,"1","0",1,"0",0,0,0,"0","0","0",0,"Lutjanus biguttatus"
"134","Lutjanus","bohar",0,"0",0,"0",1,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Lutjanus bohar"
"135","Lutjanus","decussatus",0,"0",0,"0",0,"0",0,0,0,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Lutjanus decussatus"
"136","Lutjanus","ehrenbergii",0,"0",0,"1",0,"0",0,0,1,1,0,"1","1",0,"0",0,0,0,"0","0","0",0,"Lutjanus ehrenbergii"
"137","Lutjanus","fulviflamma",1,"1",0,"0",0,"0",0,0,1,1,1,"0","0",0,"0",0,0,0,"0","0","0",0,"Lutjanus fulviflamma"
"138","Lutjanus","fulvus",1,"1",0,"1",1,"0",0,1,1,1,1,"1","1",0,"0",0,0,0,"1","1","0",0,"Lutjanus fulvus"
"139","Lutjanus","gibbus",0,"0",0,"0",1,"0",0,0,1,0,0,"1","0",0,"0",0,0,1,"0","0","0",0,"Lutjanus gibbus"
"140","Lutjanus","monostigma",0,"0",0,"0",0,"0",0,0,1,0,1,"0","0",0,"0",0,0,0,"0","0","0",0,"Lutjanus monostigma"
"141","Lutjanus","russellii",0,"0",0,"1",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Lutjanus russellii"
"142","Macrodontogobius","wilburi",0,"1",0,"0",1,"0",1,0,1,0,0,"0","0",0,"0",1,1,0,"0","0","0",0,"Macrodontogobius wilburi"
"143","Megalops","cyprinoides",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",1,"Megalops cyprinoides"
"144","Meiacanthus","ditrema",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,1,0,"0","0","0",0,"Meiacanthus ditrema"
"145","Meiacanthus","grammistes",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,1,1,"0","0","0",0,"Meiacanthus grammistes"
"146","Monodactylus","argenteus",0,"0",0,"1",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"1","0","0",0,"Monodactylus argenteus"
"147","Monotaxis","grandoculis",0,"0",0,"0",0,"0",0,0,1,0,0,"1","0",1,"0",0,0,1,"0","0","0",0,"Monotaxis grandoculis"
"148","Mugilogobius","cavifrons",0,"0",1,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Mugilogobius cavifrons"
"149","Mulloidichthys","flavolineatus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Mulloidichthys flavolineatus"
"150","Myripristis","adusta",0,"1",0,"1",1,"0",0,0,1,1,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Myripristis adusta"
"151","Myripristis","violacea",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Myripristis violacea"
"152","Myripristis","sp",0,"0",0,"0",0,"0",0,0,0,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Myripristis sp"
"153","Naso","brevirostris",0,"0",0,"0",0,"0",0,0,0,1,0,"1","0",0,"0",0,1,1,"0","0","0",0,"Naso brevirostris"
"154","Naso","vlamingii",0,"0",0,"0",0,"0",1,0,0,0,0,"1","0",0,"0",0,1,0,"0","0","0",0,"Naso vlamingii"
"155","Nectamia","viria",0,"0",0,"0",1,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Nectamia viria"
"156","Neoglyphidodon","melas",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",1,"0",0,0,0,"0","0","0",0,"Neoglyphidodon melas"
"157","Neoniphon","argenteus",1,"0",0,"0",1,"0",0,0,0,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Neoniphon argenteus"
"158","Neoniphon","opercularis",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",1,"0",0,0,0,"0","0","0",0,"Neoniphon opercularis"
"159","Neoniphon","sammara",0,"1",0,"0",0,"0",0,0,1,1,0,"1","0",0,"0",0,1,0,"0","0","0",0,"Neoniphon sammara"
"160","Neopomacentrus","nemurus",0,"1",0,"0",1,"0",0,0,0,1,0,"1","0",1,"0",1,0,1,"0","0","0",0,"Neopomacentrus nemurus"
"161","Omobranchus","obliquus",0,"0",0,"1",0,"0",0,0,0,1,0,"0","0",0,"0",0,0,0,"1","0","0",0,"Omobranchus obliquus"
"162","Oplopomops","diacanthus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Oplopomops diacanthus"
"163","Oxycheilinus","celebicus",0,"1",0,"0",0,"0",1,0,0,0,0,"0","0",1,"0",0,1,1,"0","0","0",0,"Oxycheilinus celebicus"
"164","Parapercis","cylindrica",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Parapercis cylindrica"
"165","Parioglossus","sp",0,"0",0,"0",0,"0",0,0,0,1,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Parioglossus sp"
